Time (s)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
0.842000961303711	-3.8	-0.0651001671329139	-3.73489983286709	-0.00172115199671294	-3.8	-3.9994906578213	-3.73489983286709
0.963000297546387	-3.6	-0.0578268174082037	-3.5421731825918	-0.00163233787216212	-3.6	-3.79957759007812	-3.5421731825918
0.987000465393066	-3.4	-0.048266880307346	-3.35173311969265	-0.00154457747451274	-3.4	-3.59868455631658	-3.35173311969265
1.08999967575073	-3.2	-0.0396869092248373	-3.16031309077516	-0.00145636547961989	-3.2	-3.40040476527065	-3.16031309077516
1.19500064849854	-3	-0.0301269721239796	-2.96987302787602	-0.00136860508197052	-3	-3.19918507616967	-2.96987302787602
1.30600023269653	-2.8	-0.0228536223992695	-2.77714637760073	-0.00127979095741969	-2.8	-2.99927200842649	-2.77714637760073
1.41400051116943	-2.6	-0.0201534474268543	-2.57984655257314	-0.00118886937906597	-2.6	-2.8000122513622	-2.57984655257314
1.5290002822876	-2.4	-0.0181065831333385	-2.38189341686666	-0.00109764673588325	-2.4	-2.59977252827957	-2.38189341686666
1.63300037384033	-2.2	-0.0199795829132183	-2.18002041708678	-0.00100461770372663	-2.2	-2.39985946053639	-2.18002041708678
1.74700021743774	-2	-0.018586029298602	-1.9814139707014	-0.000913093995714929	-2	-2.20027304813266	-1.9814139707014
1.85200023651123	-1.8	-0.0220923057757303	-1.77790769422427	-0.000819312301485838	-1.8	-1.99938001437113	-1.77790769422427
1.96299982070923	-1.6	-0.0334383103996501	-1.56656168960035	-0.000721917829308916	-1.6	-1.79881363594905	-1.56656168960035
2.08000040054321	-1.4	-0.0333513781428323	-1.36664862185717	-0.000629791991639247	-1.4	-1.59988053422421	-1.36664862185717
2.19799995422363	-1.2	-0.041104174032806	-1.15889582596719	-0.000534053376021748	-1.2	-1.39964081114158	-1.15889582596719
2.31200075149536	-0.999999999999999	-0.0491836252622293	-0.950816374737769	-0.000438164227989755	-0.999999999999999	-1.1984211220406	-0.950816374737769
2.41699981689453	-0.799999999999999	-0.685094638913869	-0.11490536108613	-5.29517793023641E-05	-0.799999999999999	-0.999488020315766	-0.11490536108613
2.528000831604	-0.599999999999999	-0.512533687427639	-0.08746631257236	-4.03070564849585E-05	-0.599999999999999	-0.799248297233135	-0.08746631257236
2.64100027084351	-0.399999999999999	-0.337032837886362	-0.0629671621136367	-2.90171253979893E-05	-0.399999999999999	-0.598681918811053	-0.0629671621136367
2.74600028991699	-0.199999999999999	-0.159245400968938	-0.0407545990310609	-1.87809212124705E-05	-0.199999999999999	-0.39909550640732	-0.0407545990310609
2.86200094223022	1.27675647831893E-15	0.0188686912879361	-0.0188686912879348	-8.6952494414446E-06	1.27675647831893E-15	-0.198529127985239	-0.0188686912879348
2.9680004119873	0.200000000000001	0.199596026260407	0.000403973739594221	1.8616301363789E-07	0.200000000000001	0.000730629079043865	0.000403973739594221
3.07600021362305	0.400000000000001	0.379343395214529	0.0206566047854722	9.51917271219915E-06	0.400000000000001	0.200643696822226	0.0206566047854722
3.18300008773804	0.600000000000001	0.557784142810853	0.0422158571891487	1.94543120687321E-05	0.600000000000001	0.400883419904858	0.0422158571891487
3.29600095748901	0.800000000000001	0.735898235067727	0.0641017649322748	2.9539983839758E-05	0.800000000000001	0.601776453666389	0.0641017649322748
3.40199995040894	1	0.911725739948453	0.0882742600515485	4.06793825122343E-05	1	0.799729589372873	0.0882742600515485
3.50600004196167	1.2	1.08591996813193	0.11408003186807	5.25714432571753E-05	1.2	1.0006226231344	0.11408003186807
3.625	1.4	1.25325443418697	0.146745565813035	6.76246847064676E-05	1.4	1.20118900155649	0.146745565813035
3.73400068283081	1.6	1.40686937598512	0.193130624014884	8.90002875644628E-05	1.6	1.40044875862077	0.193130624014884
3.83599996566772	1.8	0.426010323874654	1.37398967612535	0.000633174965956381	1.8	1.60101513704285	1.37398967612535
3.94800043106079	2	0.430997086223216	1.56900291377679	0.000723042817408657	2	1.79994823876768	1.56900291377679
4.06300020217896	2.2	0.422590979654343	1.77740902034566	0.000819082497855142	2.2	1.99953465117142	1.77740902034566
4.16800022125244	2.4	0.421371290553363	1.97862870944664	0.000911810465182783	2.4	2.2001010295935	1.97862870944664
4.27800035476685	2.6	0.418191669415684	2.18180833058432	0.00100544162699738	2.6	2.40034075267613	2.18180833058432
4.38300037384033	2.8	0.415338703617456	2.38466129638255	0.00109892225639749	2.8	2.59960050974041	2.38466129638255
4.49500036239624	3	0.41869218926877	2.58130781073123	0.00118954276992223	3	2.80082019884139	2.58130781073123
4.61700057983398	3.2	0.421719019580635	2.77828098041937	0.00128031381586146	3.2	3.00073326658458	2.77828098041937
4.72600030899048	3.4	0.429645679984244	2.97035432001576	0.0013688268755833	3.4	3.20031967898831	2.97035432001576
4.84700012207031	3.6	0.440185583103451	3.15981441689655	0.00145613567598919	3.6	3.39957943605259	3.15981441689655
4.94600009918213	3.8	0.449745520204309	3.35025447979569	0.00154389607363857	3.8	3.59981915913522	3.35025447979569
5.05600023269653	4	0.457998835947365	3.54200116405264	0.00163225860094591	4	3.7997322268784	3.54200116405264
5.16599988937378	3.8	0.061025666259229	3.73897433374077	0.00172302964688515	3.8	3.99899198394269	3.73897433374077
5.27200078964233	3.6	0.0540789718739685	3.54592102812603	0.00163406498991983	3.6	3.7997322268784	3.54592102812603
5.39200067520142	3.4	0.0468056221492583	3.35319437785074	0.00154525086536901	3.4	3.60047246981412	3.35319437785074
5.49699974060059	3.2	0.0375723403878503	3.16242765961215	0.00145733993530514	3.2	3.39990609139204	3.16242765961215
5.61300039291382	3	0.0273590926080933	2.97264090739191	0.00136988060248475	3	3.19901305763051	2.97264090739191
5.71099996566772	2.8	0.0207390535622825	2.77926094643772	0.00128076541310494	2.8	2.99975330056623	2.77926094643772
5.82900047302246	2.6	0.0147723251953709	2.58522767480463	0.00119134915889614	2.6	2.79951357748359	2.58522767480463
5.93000030517578	2.4	0.0137054269202039	2.38629457307979	0.00109967491846995	2.4	2.60090713109821	2.38629457307979
6.04800033569336	2.2	0.0129651839844867	2.18703481601551	0.00100785014562927	2.2	2.40001409733668	2.18703481601551
6.16199970245361	2	0.0171247711405142	1.98287522885948	0.000913767386571191	2	2.19977437425405	1.98287522885948
6.28000020980835	1.8	0.0206310476176426	1.77936895238236	0.0008199856923421	1.8	1.99986130651087	1.77936895238236
