Time (s)	Peltier Voltage (V)	Peltier PSU Current (A)	PT1000 Resistance (Ohm)	Temperature (C)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Sample Resistance (Ohm)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
1.13999938964844	0	0	1104	27.012987012987	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.199663730803877	0.0219632261432707
2.2669997215271	0	0	1104	27.012987012987	0.2	0.179343395214528	0.0206566047854722	9.51917271219915E-06	18840.2291498181	0.2	0.200317041482776	0.0206566047854722
2.64399909973145	0	0	1104	27.012987012987	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.199990386143327	0.0216365708038211
3.14199924468994	0	0	1104	27.012987012987	0.2	0.179016739875078	0.0209832601249218	9.66970512669207E-06	18513.1539720817	0.2	0.200643696822226	0.0209832601249218
3.63199949264526	0	0	1103	26.7532467532468	0.2	0.17738346317783	0.02261653682217	1.04223671991567E-05	17019.4985254581	0.2	0.200643696822226	0.02261653682217
4.1419997215271	0	0	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200317041482776	0.0216365708038211
4.63199996948242	0	0	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200317041482776	0.0216365708038211
5.15900039672852	0	0	1104	27.012987012987	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.200643696822226	0.0222898814827204
5.6439995765686	0	0	1104	27.012987012987	0.2	0.17738346317783	0.02261653682217	1.04223671991567E-05	17019.4985254581	0.2	0.200643696822226	0.02261653682217
6.13899993896484	0	0	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200643696822226	0.0219632261432707
6.64299917221069	0	0	1103	26.7532467532468	0.2	0.17705680783838	0.0229431921616197	1.05728996136496E-05	16746.2866676422	0.2	0.200317041482776	0.0229431921616197
7.13999938964844	0	0	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200970352161676	0.0219632261432707
7.63399934768677	0	0	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200970352161676	0.0216365708038211
8.13199901580811	0	0	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200317041482776	0.0219632261432707
8.63899946212769	0	0	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200643696822226	0.0216365708038211
9.14699983596802	0	0	1103	26.7532467532468	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.201950318180025	0.0222898814827204
9.64400005340576	0	0	1103	26.7532467532468	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.200317041482776	0.0222898814827204
10.1380000114441	0	0	1103	26.7532467532468	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.200970352161676	0.0222898814827204
10.6429996490479	0	0	1103	26.7532467532468	0.2	0.178690084535629	0.0213099154643714	9.820237541185E-06	18196.106131468	0.2	0.200317041482776	0.0213099154643714
11.1440000534058	0.1	0	1103	26.7532467532468	0.2	0.17738346317783	0.02261653682217	1.04223671991567E-05	17019.4985254581	0.2	0.200643696822226	0.02261653682217
11.6319994926453	0.1	0.042	1103	26.7532467532468	0.2	0.178690084535629	0.0213099154643714	9.820237541185E-06	18196.106131468	0.2	0.200317041482776	0.0213099154643714
12.1389999389648	0.1	0.04	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200643696822226	0.0216365708038211
12.6399998664856	0.1	0.039	1103	26.7532467532468	0.2	0.179343395214528	0.0206566047854722	9.51917271219915E-06	18840.2291498181	0.2	0.200970352161676	0.0206566047854722
13.1469993591309	0.1	0.038	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200643696822226	0.0216365708038211
13.6449999809265	0.1	0.037	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.199990386143327	0.0219632261432707
14.1320004463196	0.1	0.037	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200970352161676	0.0219632261432707
14.6399998664856	0.1	0.036	1103	26.7532467532468	0.2	0.179016739875078	0.0209832601249218	9.66970512669207E-06	18513.1539720817	0.2	0.200643696822226	0.0209832601249218
15.1399993896484	0.1	0.036	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200643696822226	0.0216365708038211
15.6309995651245	0.1	0.036	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200317041482776	0.0219632261432707
16.1379990577698	0.1	0.035	1103	26.7532467532468	0.2	0.17738346317783	0.02261653682217	1.04223671991567E-05	17019.4985254581	0.2	0.200317041482776	0.02261653682217
16.6389989852905	0.1	0.035	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.201297007501125	0.0219632261432707
17.1389994621277	0.1	0.035	1103	26.7532467532468	0.2	0.178690084535629	0.0213099154643714	9.820237541185E-06	18196.106131468	0.2	0.200317041482776	0.0213099154643714
17.6449990272522	0.1	0.035	1103	26.7532467532468	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.200317041482776	0.0222898814827204
18.1309995651245	0.1	0.035	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200317041482776	0.0216365708038211
18.6459994316101	0.1	0.035	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200317041482776	0.0219632261432707
19.1349997520447	0.1	0.035	1103	26.7532467532468	0.2	0.17771011851728	0.0222898814827204	1.02718347846638E-05	17300.7181523799	0.2	0.199990386143327	0.0222898814827204
19.6619992256165	0.1	0.034	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.199990386143327	0.0219632261432707
20.1389999389648	0.1	0.034	1103	26.7532467532468	0.2	0.178363429196179	0.0216365708038211	9.97076995567792E-06	17888.631468687	0.2	0.200643696822226	0.0216365708038211
20.6529994010925	0.1	0.034	1103	26.7532467532468	0.2	0.178690084535629	0.0213099154643714	9.820237541185E-06	18196.106131468	0.2	0.201297007501125	0.0213099154643714
21.1539998054504	0.2	0.091	1103	26.7532467532468	0.2	0.178036773856729	0.0219632261432707	1.01213023701708E-05	17590.3028429852	0.2	0.200317041482776	0.0219632261432707
