Time (s)	Peltier Voltage (V)	Peltier PSU Current (A)	PT1000 Resistance (Ohm)	Temperature (C)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Sample Resistance (Ohm)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
0.8319993019104	0	0	1109	28.3116883116883	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.200643696822226	0.0144501533359289
1.98399972915649	0	0	1109	28.3116883116883	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.201297007501125	0.0144501533359289
2.34299898147583	0	0	1109	28.3116883116883	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200970352161676	0.0137968426570296
2.83699893951416	0	0	1109	28.3116883116883	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.199990386143327	0.0144501533359289
3.33299922943115	0	0	1108	28.0519480519481	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200970352161676	0.0137968426570296
3.84500026702881	0	0	1109	28.3116883116883	0.2	0.185876502003521	0.0141234979964793	6.50852442234068E-06	28558.9313248169	0.2	0.200643696822226	0.0141234979964793
4.33599948883057	0	0	1109	28.3116883116883	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.200317041482776	0.0144501533359289
4.84299993515015	0	0	1109	28.3116883116883	0.2	0.185223191324621	0.0147768086753786	6.80958925132653E-06	27200.3471117644	0.2	0.200970352161676	0.0147768086753786
5.33899879455566	0	0	1109	28.3116883116883	0.2	0.185223191324621	0.0147768086753786	6.80958925132653E-06	27200.3471117644	0.2	0.201297007501125	0.0147768086753786
5.83499956130981	0	0	1109	28.3116883116883	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.200970352161676	0.0144501533359289
6.33299875259399	0	0	1109	28.3116883116883	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200317041482776	0.0137968426570296
6.84199905395508	0	0	1109	28.3116883116883	0.2	0.185876502003521	0.0141234979964793	6.50852442234068E-06	28558.9313248169	0.2	0.199663730803877	0.0141234979964793
7.34299945831299	0	0	1109	28.3116883116883	0.2	0.18652981268242	0.01347018731758	6.20745959335483E-06	30049.2995366579	0.2	0.200970352161676	0.01347018731758
7.85199928283691	0	0	1108	28.0519480519481	0.2	0.18652981268242	0.01347018731758	6.20745959335483E-06	30049.2995366579	0.2	0.200643696822226	0.01347018731758
8.33399868011475	0	0	1109	28.3116883116883	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200970352161676	0.0137968426570296
8.83599948883057	0.1	0	1108	28.0519480519481	0.2	0.185876502003521	0.0141234979964793	6.50852442234068E-06	28558.9313248169	0.2	0.200643696822226	0.0141234979964793
9.34299993515015	0.1	0.047	1108	28.0519480519481	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.200970352161676	0.0144501533359289
9.83599996566772	0.1	0.046	1108	28.0519480519481	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200643696822226	0.0137968426570296
10.3349986076355	0.1	0.043	1108	28.0519480519481	0.2	0.185549846664071	0.0144501533359289	6.6590568368336E-06	27864.2833678381	0.2	0.199990386143327	0.0144501533359289
10.8379993438721	0.1	0.043	1108	28.0519480519481	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200970352161676	0.0137968426570296
11.3359990119934	0.1	0.041	1109	28.3116883116883	0.2	0.185876502003521	0.0141234979964793	6.50852442234068E-06	28558.9313248169	0.2	0.200970352161676	0.0141234979964793
11.8369998931885	0.1	0.041	1108	28.0519480519481	0.2	0.18620315734297	0.0137968426570296	6.35799200784775E-06	29286.4723820252	0.2	0.200317041482776	0.0137968426570296
