tau_ns,R_V,Rstd
20,0.0004097298,6.859360290072054e-05
40,0.0013187939347826087,6.99156489024615e-05
60,0.002240651967391305,7.181269849262329e-05
80,0.0028051650108695658,7.554101193067742e-05
100,0.0033464165760869573,7.169174991105623e-05
120,0.0035982695652173914,6.80144196484489e-05
140,0.0038682683804347816,6.710781332236664e-05
160,0.00408188025,6.738085484420127e-05
180,0.00430864747826087,6.879851621811872e-05
200,0.004408638097826086,6.834232477231004e-05
220,0.004602192543478261,6.857385495301891e-05
240,0.004749929141304348,6.884904373709655e-05
260,0.004782208934782609,6.69915469037771e-05
280,0.004824025413043479,6.854082787544327e-05
300,0.004952087282608695,6.880478059798985e-05
320,0.005054524358695652,7.037581582778055e-05
340,0.0051448953804347835,6.939033288748301e-05
360,0.005178025217391305,6.937173951191698e-05
380,0.005243600739130435,6.902107984929231e-05
400,0.005284588010869565,6.944487144263902e-05
420,0.005325056934782609,6.820928943027265e-05
440,0.005319086086956521,7.043408961261341e-05
460,0.005383542054347827,6.94903185514175e-05
480,0.005382920076086956,6.95666928151987e-05
500,0.005324787423913044,6.822292610868555e-05
520,0.005321180032608695,6.90029204976533e-05
540,0.005366686913043478,6.904366235195452e-05
560,0.005355698923913044,6.875756843941425e-05
580,0.00549885372826087,7.098838358401896e-05
600,0.005501569619565217,7.08609750386724e-05
620,0.005463401945652174,7.351437442038772e-05
640,0.005436284391304348,7.702607946140526e-05
660,0.0055649267717391305,7.24530468794166e-05
680,0.005588353923913042,6.974813469848584e-05
700,0.005530698195652175,6.946113375184822e-05
720,0.005479593652173913,6.863871128414771e-05
740,0.00548152168478261,6.803326487205092e-05
760,0.005497734206521739,6.940172905149972e-05
780,0.005517533304347825,6.736241902634793e-05
800,0.005647751336956522,6.847452166686546e-05
820,0.005625816815217391,6.997173700268116e-05
840,0.005565362119565218,6.977464101520638e-05
860,0.00557873429347826,6.839681203105667e-05
880,0.005681420097826088,6.909624424907183e-05
900,0.005698005836956521,6.933384262115235e-05
920,0.005725828217391304,6.845541515529048e-05
940,0.0057082059565217395,6.97184677136979e-05
960,0.005775004576086955,6.778979135842e-05
980,0.005789662163043478,6.962834809720211e-05
1000,0.005796089141304348,6.910322076392253e-05
1020,0.005785764554347828,6.995335604022528e-05
1040,0.005713617065217391,7.240628044144587e-05
1060,0.005839128869565218,7.738274782199832e-05
1080,0.005861249934782609,7.298185013111799e-05
1100,0.005813649184782609,7.015852585270407e-05
1120,0.005871139173913042,7.222016055762932e-05
1140,0.0059388500108695655,7.333804178159233e-05
1160,0.005979567695652175,7.232902420397139e-05
1180,0.006018606163043478,7.036734392632107e-05
1200,0.006054700749999999,7.069948497638884e-05
1220,0.00604893722826087,6.980105247199278e-05
1240,0.005968517576086957,6.836708353189606e-05
1260,0.00605590316304348,6.875492615399133e-05
1280,0.006033553989130435,6.860730324612972e-05
1300,0.006127760434782608,6.852369938002471e-05
1320,0.006161139065217391,6.860764829366368e-05
1340,0.006120151793478261,6.84386822080997e-05
1360,0.006134830086956521,6.968721444685532e-05
1380,0.006152804782608697,7.066796572887245e-05
1400,0.006267909108695651,6.866262034198316e-05
1420,0.006202147086956523,7.00904711233759e-05
1440,0.00637038770652174,6.846210848734817e-05
1460,0.006362944826086958,6.932422841565765e-05
1480,0.00641237002173913,6.965632000275072e-05
1500,0.00645889275,6.935658586054379e-05
1520,0.006367920543478262,7.060433105409281e-05
1540,0.006470067358695653,7.182613794185985e-05
1560,0.006411520043478261,7.046500933903493e-05
1580,0.006435424108695652,7.141073007524494e-05
1600,0.006563921369565217,7.229991424369761e-05
1620,0.006538420836956522,6.969852045202742e-05
1640,0.006578724032608696,6.919758477383113e-05
1660,0.00655705904347826,7.050526361909517e-05
1680,0.006539540456521739,6.999244044653081e-05
1700,0.006547895445652174,6.98970892266319e-05
1720,0.006546216260869564,7.082115144777349e-05
1740,0.00656539327173913,7.143043148788707e-05
1760,0.006663621749999999,7.07227561547362e-05
1780,0.006597320630434783,6.948080458795441e-05
1800,0.006716343369565217,7.041836352375297e-05
1820,0.0067589684999999995,7.030680132269037e-05
1840,0.006734131489130435,6.877160274960793e-05
1860,0.006818075565217391,6.903606314524006e-05
1880,0.006825870782608695,6.84866310936773e-05
1900,0.006817142641304347,6.833624625218107e-05
1920,0.006770412652173913,6.899127817079407e-05
1940,0.0068346197065217405,6.852703288857396e-05
1960,0.006904403815217391,7.104700762751765e-05
1980,0.0068173084782608695,6.819462249813087e-05
2000,0.006850376054347826,6.818628984043327e-05
