time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-7.054401598478618474e-02	-1.222896375154194137e+00
1.000000000000000082e-05	-7.054401598478618474e-02	-1.222896375154194137e+00
2.000000000000000164e-05	-7.049518785978618751e-02	-1.219234265779194137e+00
3.000000000000000076e-05	-7.098346910978618751e-02	-1.226558484529194137e+00
4.000000000000000327e-05	-7.088581285978617919e-02	-1.222896375154194137e+00
5.000000000000000240e-05	-7.142292223478617641e-02	-1.230220593904194137e+00
6.000000000000000152e-05	-7.132526598478618196e-02	-1.226558484529194137e+00
6.999999999999999387e-05	-7.181354723478618196e-02	-1.233882703279194137e+00
8.000000000000000654e-05	-7.176471910978618474e-02	-1.230220593904194137e+00
9.000000000000000567e-05	-7.225300035978618474e-02	-1.237544812654194137e+00
1.000000000000000048e-04	-7.220417223478618751e-02	-1.233882703279194137e+00
1.100000000000000039e-04	-7.269245348478618751e-02	-1.241206922029194137e+00
1.200000000000000030e-04	-7.259479723478617919e-02	-1.237544812654194137e+00
1.299999999999999886e-04	-7.313190660978617641e-02	-1.244869031404194137e+00
1.399999999999999877e-04	-7.303425035978618196e-02	-1.241206922029194137e+00
1.499999999999999869e-04	-7.352253160978618196e-02	-1.248531140779194137e+00
1.600000000000000131e-04	-7.347370348478618474e-02	-1.244869031404194137e+00
1.700000000000000122e-04	-7.396198473478618474e-02	-1.252193250154194137e+00
1.800000000000000113e-04	-7.391315660978618751e-02	-1.248531140779194137e+00
1.900000000000000105e-04	-7.440143785978618751e-02	-1.255855359529194137e+00
2.000000000000000096e-04	-7.435260973478617641e-02	-1.253413953279194137e+00
2.100000000000000087e-04	-7.484089098478617641e-02	-1.259517468904194137e+00
2.200000000000000078e-04	-7.479206285978617919e-02	-1.255855359529194137e+00
2.300000000000000070e-04	-7.528034410978617919e-02	-1.263179578279194137e+00
2.400000000000000061e-04	-7.518268785978618474e-02	-1.260738172029194137e+00
2.500000000000000052e-04	-7.571979723478618196e-02	-1.266841687654194137e+00
2.599999999999999772e-04	-7.562214098478618751e-02	-1.263179578279194137e+00
2.700000000000000035e-04	-7.611042223478618751e-02	-1.270503797029194137e+00
2.799999999999999755e-04	-7.606159410978619029e-02	-1.268062390779194137e+00
2.900000000000000017e-04	-7.654987535978619029e-02	-1.274165906404194137e+00
2.999999999999999737e-04	-7.650104723478617919e-02	-1.271724500154194137e+00
3.099999999999999999e-04	-7.698932848478617919e-02	-1.277828015779194137e+00
3.200000000000000262e-04	-7.689167223478618474e-02	-1.274165906404194137e+00
3.299999999999999982e-04	-7.737995348478618474e-02	-1.281490125154194137e+00
3.400000000000000244e-04	-7.733112535978618751e-02	-1.277828015779194137e+00
3.499999999999999964e-04	-7.781940660978618751e-02	-1.285152234529194137e+00
3.600000000000000227e-04	-7.772175035978617919e-02	-1.282710828279194137e+00
3.699999999999999947e-04	-7.821003160978617919e-02	-1.288814343904194137e+00
3.800000000000000209e-04	-7.816120348478618196e-02	-1.285152234529194137e+00
3.899999999999999929e-04	-7.864948473478618196e-02	-1.292476453279194137e+00
4.000000000000000192e-04	-7.860065660978618474e-02	-1.290035047029194137e+00
4.099999999999999912e-04	-7.904010973478618751e-02	-1.296138562654194137e+00
4.200000000000000174e-04	-7.899128160978619029e-02	-1.292476453279194137e+00
4.299999999999999894e-04	-7.947956285978619029e-02	-1.299800672029194137e+00
