time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-6.909253572162829538e-02	-1.221753572162828982e+00
1.000000000000000082e-05	-6.909253572162829538e-02	-1.221753572162828982e+00
2.000000000000000164e-05	-6.904370759662829815e-02	-1.219312165912828982e+00
3.000000000000000076e-05	-6.958081697162829538e-02	-1.225415681537828982e+00
4.000000000000000327e-05	-6.948316072162828705e-02	-1.222974275287828982e+00
5.000000000000000240e-05	-7.002027009662829815e-02	-1.230298494037828982e+00
6.000000000000000152e-05	-6.997144197162828705e-02	-1.225415681537828982e+00
6.999999999999999387e-05	-7.045972322162828705e-02	-1.232739900287828982e+00
8.000000000000000654e-05	-7.041089509662828982e-02	-1.230298494037828982e+00
9.000000000000000567e-05	-7.089917634662828982e-02	-1.237622712787828982e+00
1.000000000000000048e-04	-7.085034822162829260e-02	-1.232739900287828982e+00
1.100000000000000039e-04	-7.133862947162829260e-02	-1.240064119037828982e+00
1.200000000000000030e-04	-7.128980134662829538e-02	-1.236402009662828982e+00
1.299999999999999886e-04	-7.177808259662829538e-02	-1.243726228412828982e+00
1.399999999999999877e-04	-7.172925447162829815e-02	-1.241284822162828982e+00
1.499999999999999869e-04	-7.221753572162829815e-02	-1.248609040912828982e+00
1.600000000000000131e-04	-7.216870759662828705e-02	-1.244946931537828982e+00
1.700000000000000122e-04	-7.265698884662828705e-02	-1.252271150287828982e+00
1.800000000000000113e-04	-7.255933259662829260e-02	-1.248609040912828982e+00
1.900000000000000105e-04	-7.309644197162828982e-02	-1.255933259662828982e+00
2.000000000000000096e-04	-7.299878572162829538e-02	-1.252271150287828982e+00
2.100000000000000087e-04	-7.348706697162829538e-02	-1.259595369037828982e+00
2.200000000000000078e-04	-7.343823884662829815e-02	-1.255933259662828982e+00
2.300000000000000070e-04	-7.392652009662829815e-02	-1.263257478412828982e+00
2.400000000000000061e-04	-7.382886384662828982e-02	-1.259595369037828982e+00
2.500000000000000052e-04	-7.431714509662828982e-02	-1.266919587787828982e+00
2.599999999999999772e-04	-7.426831697162829260e-02	-1.263257478412828982e+00
2.700000000000000035e-04	-7.475659822162829260e-02	-1.270581697162828982e+00
2.799999999999999755e-04	-7.465894197162829815e-02	-1.266919587787828982e+00
2.900000000000000017e-04	-7.514722322162829815e-02	-1.274243806537828982e+00
2.999999999999999737e-04	-7.504956697162828982e-02	-1.270581697162828982e+00
3.099999999999999999e-04	-7.553784822162828982e-02	-1.277905915912828982e+00
3.200000000000000262e-04	-7.544019197162829538e-02	-1.274243806537828982e+00
3.299999999999999982e-04	-7.592847322162829538e-02	-1.281568025287828982e+00
3.400000000000000244e-04	-7.583081697162830093e-02	-1.277905915912828982e+00
3.499999999999999964e-04	-7.631909822162830093e-02	-1.285230134662828982e+00
3.600000000000000227e-04	-7.622144197162829260e-02	-1.281568025287828982e+00
3.699999999999999947e-04	-7.670972322162829260e-02	-1.288892244037828982e+00
3.800000000000000209e-04	-7.661206697162829815e-02	-1.285230134662828982e+00
3.899999999999999929e-04	-7.710034822162829815e-02	-1.292554353412828982e+00
4.000000000000000192e-04	-7.700269197162828982e-02	-1.288892244037828982e+00
4.099999999999999912e-04	-7.749097322162828982e-02	-1.296216462787828982e+00
4.200000000000000174e-04	-7.739331697162829538e-02	-1.292554353412828982e+00
4.299999999999999894e-04	-7.788159822162829538e-02	-1.299878572162828982e+00
4.400000000000000157e-04	-7.783277009662829815e-02	-1.296216462787828982e+00
4.499999999999999877e-04	-7.827222322162830093e-02	-1.303540681537828982e+00
4.600000000000000139e-04	-7.817456697162829260e-02	-1.299878572162828982e+00
4.699999999999999859e-04	-7.866284822162829260e-02	-1.307202790912828982e+00
4.800000000000000122e-04	-7.856519197162829815e-02	-1.303540681537828982e+00
4.899999999999999842e-04	-7.905347322162829815e-02	-1.310864900287828982e+00
5.000000000000000104e-04	-7.900464509662830093e-02	-1.307202790912828982e+00
5.100000000000000366e-04	-7.949292634662830093e-02	-1.314527009662828982e+00
5.199999999999999544e-04	-7.939527009662829260e-02	-1.310864900287828982e+00
