time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-7.408161364103618696e-02	-1.222838552374588827e+00
1.000000000000000082e-05	-7.408161364103618696e-02	-1.222838552374588827e+00
2.000000000000000164e-05	-7.398395739103617863e-02	-1.219176442999588827e+00
3.000000000000000076e-05	-7.437458239103618418e-02	-1.226500661749588827e+00
4.000000000000000327e-05	-7.422809801603617863e-02	-1.222838552374588827e+00
5.000000000000000240e-05	-7.466755114103618141e-02	-1.230162771124588827e+00
6.000000000000000152e-05	-7.452106676603618973e-02	-1.226500661749588827e+00
6.999999999999999387e-05	-7.491169176603618141e-02	-1.233824880499588827e+00
8.000000000000000654e-05	-7.481403551603618696e-02	-1.230162771124588827e+00
9.000000000000000567e-05	-7.520466051603619251e-02	-1.237486989874588827e+00
1.000000000000000048e-04	-7.505817614103618696e-02	-1.233824880499588827e+00
1.100000000000000039e-04	-7.549762926603618973e-02	-1.241149099249588827e+00
1.200000000000000030e-04	-7.535114489103618418e-02	-1.237486989874588827e+00
1.299999999999999886e-04	-7.574176989103618973e-02	-1.244811208624588827e+00
1.399999999999999877e-04	-7.564411364103618141e-02	-1.241149099249588827e+00
1.499999999999999869e-04	-7.603473864103618696e-02	-1.248473317999588827e+00
1.600000000000000131e-04	-7.588825426603618141e-02	-1.244811208624588827e+00
1.700000000000000122e-04	-7.632770739103618418e-02	-1.252135427374588827e+00
1.800000000000000113e-04	-7.618122301603619251e-02	-1.249694021124588827e+00
1.900000000000000105e-04	-7.657184801603618418e-02	-1.255797536749588827e+00
2.000000000000000096e-04	-7.647419176603618973e-02	-1.252135427374588827e+00
2.100000000000000087e-04	-7.686481676603618141e-02	-1.259459646124588827e+00
2.200000000000000078e-04	-7.671833239103618973e-02	-1.257018239874588827e+00
2.300000000000000070e-04	-7.715778551603619251e-02	-1.263121755499588827e+00
2.400000000000000061e-04	-7.701130114103618696e-02	-1.259459646124588827e+00
2.500000000000000052e-04	-7.740192614103619251e-02	-1.266783864874588827e+00
2.599999999999999772e-04	-7.730426989103618418e-02	-1.263121755499588827e+00
2.700000000000000035e-04	-7.769489489103618973e-02	-1.270445974249588827e+00
2.799999999999999755e-04	-7.759723864103618141e-02	-1.266783864874588827e+00
2.900000000000000017e-04	-7.798786364103618696e-02	-1.274108083624588827e+00
2.999999999999999737e-04	-7.789020739103619251e-02	-1.271666677374588827e+00
3.099999999999999999e-04	-7.828083239103618418e-02	-1.277770192999588827e+00
3.200000000000000262e-04	-7.818317614103618973e-02	-1.274108083624588827e+00
3.299999999999999982e-04	-7.857380114103618141e-02	-1.281432302374588827e+00
3.400000000000000244e-04	-7.847614489103618696e-02	-1.278990896124588827e+00
3.499999999999999964e-04	-7.886676989103619251e-02	-1.285094411749588827e+00
3.600000000000000227e-04	-7.876911364103618418e-02	-1.282653005499588827e+00
3.699999999999999947e-04	-7.915973864103618973e-02	-1.288756521124588827e+00
3.800000000000000209e-04	-7.906208239103618141e-02	-1.286315114874588827e+00
3.899999999999999929e-04	-7.950153551603618418e-02	-1.292418630499588827e+00
4.000000000000000192e-04	-7.935505114103619251e-02	-1.289977224249588827e+00
4.099999999999999912e-04	-7.979450426603618141e-02	-1.296080739874588827e+00
4.200000000000000174e-04	-7.969684801603618696e-02	-1.292418630499588827e+00
4.299999999999999894e-04	-8.008747301603619251e-02	-1.299742849249588827e+00
4.400000000000000157e-04	-7.998981676603618418e-02	-1.297301442999588827e+00
4.499999999999999877e-04	-8.042926989103618696e-02	-1.304625661749588827e+00
4.600000000000000139e-04	-8.028278551603618141e-02	-1.300963552374588827e+00
4.699999999999999859e-04	-8.072223864103618418e-02	-1.307067067999588827e+00
4.800000000000000122e-04	-8.062458239103618973e-02	-1.304625661749588827e+00
4.899999999999999842e-04	-8.106403551603619251e-02	-1.311949880499588827e+00
5.000000000000000104e-04	-8.091755114103618696e-02	-1.308287771124588827e+00
5.100000000000000366e-04	-8.135700426603618973e-02	-1.315611989874588827e+00
5.199999999999999544e-04	-8.125934801603618141e-02	-1.311949880499588827e+00
5.299999999999999807e-04	-8.169880114103618418e-02	-1.318053396124588827e+00
5.400000000000000069e-04	-8.160114489103618973e-02	-1.315611989874588827e+00
5.500000000000000331e-04	-8.204059801603619251e-02	-1.322936208624588827e+00
5.599999999999999509e-04	-8.194294176603618418e-02	-1.319274099249588827e+00
5.699999999999999772e-04	-8.238239489103618696e-02	-1.325377614874588827e+00
5.800000000000000034e-04	-8.223591051603618141e-02	-1.322936208624588827e+00
5.900000000000000296e-04	-8.272419176603618141e-02	-1.329039724249588827e+00
5.999999999999999474e-04	-8.262653551603618696e-02	-1.326598317999588827e+00
6.099999999999999737e-04	-8.306598864103618973e-02	-1.332701833624588827e+00
6.199999999999999999e-04	-8.296833239103618141e-02	-1.329039724249588827e+00
6.300000000000000261e-04	-8.340778551603618418e-02	-1.336363942999588827e+00
6.400000000000000524e-04	-8.331012926603618973e-02	-1.332701833624588827e+00
6.499999999999999702e-04	-8.379841051603618973e-02	-1.340026052374588827e+00
6.599999999999999964e-04	-8.370075426603618141e-02	-1.337584646124588827e+00
6.700000000000000226e-04	-8.414020739103618418e-02	-1.343688161749588827e+00
6.800000000000000488e-04	-8.404255114103618973e-02	-1.340026052374588827e+00
6.899999999999999667e-04	-8.453083239103618973e-02	-1.347350271124588827e+00
6.999999999999999929e-04	-8.443317614103618141e-02	-1.343688161749588827e+00
7.100000000000000191e-04	-8.492145739103618141e-02	-1.351012380499588827e+00
7.200000000000000453e-04	-8.482380114103618696e-02	-1.347350271124588827e+00
7.299999999999999632e-04	-8.531208239103618696e-02	-1.354674489874588827e+00
7.399999999999999894e-04	-8.521442614103619251e-02	-1.352233083624588827e+00
7.500000000000000156e-04	-8.570270739103619251e-02	-1.358336599249588827e+00
7.600000000000000418e-04	-8.560505114103618418e-02	-1.355895192999588827e+00
7.699999999999999597e-04	-8.609333239103618418e-02	-1.361998708624588827e+00
7.799999999999999859e-04	-8.604450426603618696e-02	-1.358336599249588827e+00
7.900000000000000121e-04	-8.653278551603618696e-02	-1.365660817999588827e+00
8.000000000000000383e-04	-8.643512926603619251e-02	-1.361998708624588827e+00
8.099999999999999561e-04	-8.692341051603619251e-02	-1.369322927374588827e+00
8.199999999999999824e-04	-8.687458239103618141e-02	-1.365660817999588827e+00
8.300000000000000086e-04	-8.736286364103618141e-02	-1.372985036749588827e+00
8.400000000000000348e-04	-8.726520739103618696e-02	-1.369322927374588827e+00
8.499999999999999526e-04	-8.775348864103618696e-02	-1.376647146124588827e+00
8.599999999999999789e-04	-8.770466051603618973e-02	-1.372985036749588827e+00
8.700000000000000051e-04	-8.814411364103619251e-02	-1.380309255499588827e+00
8.800000000000000313e-04	-8.809528551603618141e-02	-1.376647146124588827e+00
8.899999999999999491e-04	-8.858356676603618141e-02	-1.383971364874588827e+00
8.999999999999999754e-04	-8.848591051603618696e-02	-1.380309255499588827e+00
9.100000000000000016e-04	-8.897419176603618696e-02	-1.387633474249588827e+00
9.200000000000000278e-04	-8.892536364103618973e-02	-1.383971364874588827e+00
9.300000000000000541e-04	-8.936481676603619251e-02	-1.391295583624588827e+00
9.399999999999999719e-04	-8.931598864103618141e-02	-1.387633474249588827e+00
9.499999999999999981e-04	-8.975544176603618418e-02	-1.394957692999588827e+00
9.600000000000000243e-04	-8.970661364103618696e-02	-1.391295583624588827e+00
9.700000000000000505e-04	-9.014606676603618973e-02	-1.398619802374588827e+00
9.799999999999999684e-04	-9.004841051603618141e-02	-1.393736989874588827e+00
9.899999999999999946e-04	-9.048786364103618418e-02	-1.401061208624588827e+00
1.000000000000000021e-03	-9.043903551603618696e-02	-1.391295583624588827e+00
1.010000000000000047e-03	-9.087848864103618973e-02	-1.398619802374588827e+00
1.020000000000000073e-03	-9.078083239103618141e-02	-1.386412771124588827e+00
1.030000000000000100e-03	-9.122028551603618418e-02	-1.393736989874588827e+00
1.039999999999999909e-03	-9.112262926603618973e-02	-1.382750661749588827e+00
1.049999999999999935e-03	-9.156208239103619251e-02	-1.390074880499588827e+00
