time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-7.572439093338816096e-02	-1.222886738024259845e+00
1.000000000000000082e-05	-7.572439093338816096e-02	-1.222886738024259845e+00
2.000000000000000164e-05	-7.557790655838815541e-02	-1.219224628649259845e+00
3.000000000000000076e-05	-7.601735968338815819e-02	-1.226548847399259845e+00
4.000000000000000327e-05	-7.587087530838815264e-02	-1.222886738024259845e+00
5.000000000000000240e-05	-7.626150030838815819e-02	-1.230210956774259845e+00
6.000000000000000152e-05	-7.616384405838816374e-02	-1.226548847399259845e+00
6.999999999999999387e-05	-7.655446905838815541e-02	-1.233873066149259845e+00
8.000000000000000654e-05	-7.640798468338816374e-02	-1.230210956774259845e+00
9.000000000000000567e-05	-7.684743780838815264e-02	-1.237535175524259845e+00
1.000000000000000048e-04	-7.674978155838815819e-02	-1.233873066149259845e+00
1.100000000000000039e-04	-7.714040655838816374e-02	-1.241197284899259845e+00
1.200000000000000030e-04	-7.699392218338815819e-02	-1.237535175524259845e+00
1.299999999999999886e-04	-7.743337530838816096e-02	-1.244859394274259845e+00
1.399999999999999877e-04	-7.728689093338815541e-02	-1.241197284899259845e+00
1.499999999999999869e-04	-7.772634405838815819e-02	-1.248521503649259845e+00
1.600000000000000131e-04	-7.757985968338815264e-02	-1.244859394274259845e+00
1.700000000000000122e-04	-7.801931280838815541e-02	-1.252183613024259845e+00
1.800000000000000113e-04	-7.792165655838816096e-02	-1.248521503649259845e+00
1.900000000000000105e-04	-7.831228155838815264e-02	-1.255845722399259845e+00
2.000000000000000096e-04	-7.821462530838815819e-02	-1.252183613024259845e+00
2.100000000000000087e-04	-7.865407843338816096e-02	-1.259507831774259845e+00
2.200000000000000078e-04	-7.850759405838815541e-02	-1.255845722399259845e+00
2.300000000000000070e-04	-7.894704718338815819e-02	-1.263169941149259845e+00
2.400000000000000061e-04	-7.884939093338816374e-02	-1.259507831774259845e+00
2.500000000000000052e-04	-7.924001593338815541e-02	-1.266832050524259845e+00
2.599999999999999772e-04	-7.914235968338816096e-02	-1.263169941149259845e+00
2.700000000000000035e-04	-7.958181280838816374e-02	-1.270494159899259845e+00
2.799999999999999755e-04	-7.948415655838815541e-02	-1.266832050524259845e+00
2.900000000000000017e-04	-7.992360968338815819e-02	-1.274156269274259845e+00
2.999999999999999737e-04	-7.982595343338816374e-02	-1.270494159899259845e+00
3.099999999999999999e-04	-8.026540655838815264e-02	-1.277818378649259845e+00
3.200000000000000262e-04	-8.016775030838815819e-02	-1.275376972399259845e+00
3.299999999999999982e-04	-8.060720343338816096e-02	-1.281480488024259845e+00
3.400000000000000244e-04	-8.046071905838815541e-02	-1.277818378649259845e+00
3.499999999999999964e-04	-8.094900030838815541e-02	-1.285142597399259845e+00
3.600000000000000227e-04	-8.080251593338816374e-02	-1.281480488024259845e+00
3.699999999999999947e-04	-8.129079718338816374e-02	-1.288804706774259845e+00
3.800000000000000209e-04	-8.114431280838815819e-02	-1.285142597399259845e+00
3.899999999999999929e-04	-8.163259405838815819e-02	-1.292466816149259845e+00
4.000000000000000192e-04	-8.153493780838816374e-02	-1.290025409899259845e+00
4.099999999999999912e-04	-8.197439093338815264e-02	-1.296128925524259845e+00
4.200000000000000174e-04	-8.182790655838816096e-02	-1.293687519274259845e+00
4.299999999999999894e-04	-8.231618780838816096e-02	-1.299791034899259845e+00
4.400000000000000157e-04	-8.221853155838815264e-02	-1.297349628649259845e+00
4.499999999999999877e-04	-8.265798468338815541e-02	-1.303453144274259845e+00
