time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-7.563039679276316318e-02	-1.222658659282483518e+00
1.000000000000000082e-05	-7.563039679276316318e-02	-1.222658659282483518e+00
2.000000000000000164e-05	-7.558156866776316596e-02	-1.218996549907483518e+00
3.000000000000000076e-05	-7.606984991776316596e-02	-1.226320768657483518e+00
4.000000000000000327e-05	-7.597219366776315763e-02	-1.222658659282483518e+00
5.000000000000000240e-05	-7.646047491776315763e-02	-1.229982878032483518e+00
6.000000000000000152e-05	-7.636281866776316318e-02	-1.226320768657483518e+00
6.999999999999999387e-05	-7.685109991776316318e-02	-1.233644987407483518e+00
8.000000000000000654e-05	-7.675344366776315486e-02	-1.231203581157483518e+00
9.000000000000000567e-05	-7.724172491776315486e-02	-1.237307096782483518e+00
1.000000000000000048e-04	-7.714406866776316041e-02	-1.233644987407483518e+00
1.100000000000000039e-04	-7.763234991776316041e-02	-1.240969206157483518e+00
1.200000000000000030e-04	-7.753469366776316596e-02	-1.237307096782483518e+00
1.299999999999999886e-04	-7.797414679276315486e-02	-1.244631315532483518e+00
1.399999999999999877e-04	-7.787649054276316041e-02	-1.242189909282483518e+00
1.499999999999999869e-04	-7.831594366776316318e-02	-1.248293424907483518e+00
1.600000000000000131e-04	-7.821828741776315486e-02	-1.244631315532483518e+00
1.700000000000000122e-04	-7.865774054276315763e-02	-1.251955534282483296e+00
1.800000000000000113e-04	-7.851125616776316596e-02	-1.249514128032483518e+00
1.900000000000000105e-04	-7.899953741776316596e-02	-1.256838346782483296e+00
2.000000000000000096e-04	-7.885305304276316041e-02	-1.253176237407483296e+00
2.100000000000000087e-04	-7.929250616776316318e-02	-1.259279753032483296e+00
2.200000000000000078e-04	-7.914602179276315763e-02	-1.256838346782483296e+00
2.300000000000000070e-04	-7.958547491776316041e-02	-1.262941862407483296e+00
2.400000000000000061e-04	-7.943899054276315486e-02	-1.259279753032483296e+00
2.500000000000000052e-04	-7.987844366776315763e-02	-1.267824674907483296e+00
2.599999999999999772e-04	-7.973195929276316596e-02	-1.264162565532483296e+00
2.700000000000000035e-04	-8.017141241776315486e-02	-1.271486784282483296e+00
2.799999999999999755e-04	-8.002492804276316318e-02	-1.267824674907483296e+00
2.900000000000000017e-04	-8.046438116776316596e-02	-1.273928190532483296e+00
2.999999999999999737e-04	-8.026906866776316318e-02	-1.270266081157483296e+00
3.099999999999999999e-04	-8.070852179276316596e-02	-1.277590299907483296e+00
3.200000000000000262e-04	-8.056203741776316041e-02	-1.275148893657483296e+00
3.299999999999999982e-04	-8.095266241776316596e-02	-1.282473112407483296e+00
3.400000000000000244e-04	-8.080617804276316041e-02	-1.278811003032483296e+00
3.499999999999999964e-04	-8.119680304276316596e-02	-1.286135221782483296e+00
3.600000000000000227e-04	-8.105031866776316041e-02	-1.282473112407483296e+00
3.699999999999999947e-04	-8.148977179276316318e-02	-1.289797331157483296e+00
3.800000000000000209e-04	-8.129445929276316041e-02	-1.286135221782483296e+00
3.899999999999999929e-04	-8.173391241776316318e-02	-1.293459440532483296e+00
4.000000000000000192e-04	-8.153859991776316041e-02	-1.289797331157483296e+00
4.099999999999999912e-04	-8.192922491776316596e-02	-1.297121549907483296e+00
4.200000000000000174e-04	-8.178274054276316041e-02	-1.293459440532483296e+00
4.299999999999999894e-04	-8.217336554276316596e-02	-1.300783659282483296e+00
4.400000000000000157e-04	-8.197805304276316318e-02	-1.297121549907483296e+00
4.499999999999999877e-04	-8.241750616776316596e-02	-1.304445768657483296e+00
4.600000000000000139e-04	-8.222219366776316318e-02	-1.300783659282483296e+00
4.699999999999999859e-04	-8.261281866776315486e-02	-1.308107878032483296e+00
4.800000000000000122e-04	-8.246633429276316318e-02	-1.304445768657483296e+00
4.899999999999999842e-04	-8.285695929276315486e-02	-1.311769987407483296e+00
5.000000000000000104e-04	-8.271047491776316318e-02	-1.308107878032483296e+00
5.100000000000000366e-04	-8.310109991776315486e-02	-1.315432096782483296e+00
5.199999999999999544e-04	-8.295461554276316318e-02	-1.311769987407483296e+00
5.299999999999999807e-04	-8.334524054276315486e-02	-1.319094206157483296e+00
5.400000000000000069e-04	-8.314992804276316596e-02	-1.315432096782483296e+00
5.500000000000000331e-04	-8.354055304276315763e-02	-1.322756315532483296e+00
5.599999999999999509e-04	-8.339406866776316596e-02	-1.319094206157483296e+00
5.699999999999999772e-04	-8.378469366776315763e-02	-1.326418424907483296e+00
5.800000000000000034e-04	-8.363820929276316596e-02	-1.322756315532483296e+00
5.900000000000000296e-04	-8.402883429276315763e-02	-1.330080534282483296e+00
5.999999999999999474e-04	-8.388234991776316596e-02	-1.326418424907483296e+00
6.099999999999999737e-04	-8.432180304276315486e-02	-1.333742643657483296e+00
6.199999999999999999e-04	-8.417531866776316318e-02	-1.330080534282483296e+00
6.300000000000000261e-04	-8.456594366776315486e-02	-1.337404753032483296e+00
6.400000000000000524e-04	-8.441945929276316318e-02	-1.333742643657483296e+00
6.499999999999999702e-04	-8.485891241776316596e-02	-1.339846159282483296e+00
6.599999999999999964e-04	-8.471242804276316041e-02	-1.337404753032483296e+00
6.700000000000000226e-04	-8.510305304276316596e-02	-1.344728971782483296e+00
6.800000000000000488e-04	-8.495656866776316041e-02	-1.341066862407483296e+00
6.899999999999999667e-04	-8.539602179276316318e-02	-1.347170378032483296e+00
6.999999999999999929e-04	-8.524953741776315763e-02	-1.344728971782483296e+00
7.100000000000000191e-04	-8.568899054276316041e-02	-1.352053190532483296e+00
7.200000000000000453e-04	-8.554250616776315486e-02	-1.348391081157483296e+00
7.299999999999999632e-04	-8.598195929276315763e-02	-1.355715299907483296e+00
7.399999999999999894e-04	-8.583547491776316596e-02	-1.350832487407483296e+00
7.500000000000000156e-04	-8.627492804276315486e-02	-1.358156706157483296e+00
7.600000000000000418e-04	-8.612844366776316318e-02	-1.355715299907483296e+00
7.699999999999999597e-04	-8.656789679276316596e-02	-1.363039518657483296e+00
7.799999999999999859e-04	-8.642141241776316041e-02	-1.359377409282483296e+00
7.900000000000000121e-04	-8.686086554276316318e-02	-1.365480924907483296e+00
