file,method,note,r2,rmse_V,amplitude_V,t2star_ns,frequency_per_ns,period_ns,cycles_in_window,offset_V,phase_rad,score,plot
Rabi_Corrected.csv,trend_cosine,trend-cosine (slope=6.166e-06),0.8743885098776897,0.00039047824190991613,-0.003871798902764653,inf,0.0002525252534452419,3959.9999855730944,0.500000001821579,0.005003125173772367,2.8452822351917737,0.664388510023416,Rabi_Corrected__trend_cosine.pdf
Rabi_Corrected.csv,constrained_weighted,weighted+constrained,0.8581967786953068,0.0004148825834985829,-0.004549421609979917,297.00000000023624,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.006211113778382857,-0.16553237663867207,0.6481967786953068,Rabi_Corrected__constrained_weighted.pdf
Rabi_Corrected.csv,multistart_damped,multi-start (40),0.8581967786203035,0.00041488258360830365,0.004549421613504361,297.00000000000006,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.0062111137664180105,-3.3071249580182576,0.6481967786203036,Rabi_Corrected__multistart_damped.pdf
Rabi_Corrected.csv,unconstrained_damped,unconstrained,0.8850383215525277,0.00037355856928908686,-0.011745753297036551,274.56150580736943,8.321379040525064e-07,1201723.891112286,0.0016476330500239627,0.006279407600155393,-1.1480717822712272,0.6351701321965296,Rabi_Corrected__unconstrained_damped.pdf
Rabi_Corrected.csv,nodamp_constrained,no-damping,0.7166471563167474,0.0005864701915945225,-0.0015965802491126042,inf,0.0002525252525252554,3959.999999999955,0.5000000000000057,0.005003125096890963,0.65518245776182,0.5066471563167478,Rabi_Corrected__nodamp_constrained.pdf
Rabi_Corrected.csv,robust_softl1,robust-soft_l1,0.5708611698623558,0.0007217404763995092,0.0009120693331938684,59373.54569268698,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.005795052357705424,3.1318644396312014,0.36086116986235584,Rabi_Corrected__robust_softl1.pdf
Rabi_Corrected.csv,grid_frequency,grid-frequency,0.0038804538538171895,0.0010996079890130109,4.839745113964837e-05,inf,0.005800477670786261,172.39959478448418,11.484945788156796,0.005641277965538169,2.392280096171489,0.24388045385381718,Rabi_Corrected__grid_frequency.pdf
Rabi_Corrected.csv,peak_seeded,FAILED: Not enough extrema for peak-seeded estimate,,,,,,,,,,-inf,
Rabi_tau1.csv,trend_cosine,trend-cosine (slope=1.929e-06),0.5667320285288281,0.0010594335815349704,-0.000567305164170071,inf,0.0015167756972309808,659.2932638791588,3.003215880517342,0.009757016891188124,-0.49530093215899085,0.8067320285288281,Rabi_tau1__trend_cosine.pdf
Rabi_tau1.csv,peak_seeded,peak-seeded,0.4610808396305969,0.0011815640105567206,0.005413626490543169,297.00000000000006,0.0025000000016523424,399.99999973562524,4.950000003271638,0.009896218399489782,2.099073195321921,0.7010808396305969,Rabi_tau1__peak_seeded.pdf
Rabi_tau1.csv,unconstrained_damped,unconstrained,0.9129326671757835,0.00047492284676923114,-0.01139655904538243,105.88124350196856,3.348419170156773e-06,298648.39172844065,0.00662986995691041,0.01028123232984817,-0.25897678427013787,0.6634630567723363,Rabi_tau1__unconstrained_damped.pdf
Rabi_tau1.csv,multistart_damped,multi-start (40),0.8198271681157913,0.0006831877874140386,0.009181612499205044,297.00000000000006,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.010291577849933967,-2.4938169620506585,0.6098271681157913,Rabi_tau1__multistart_damped.pdf
Rabi_tau1.csv,constrained_weighted,weighted+constrained,0.8198271681117062,0.0006831877874217837,-0.009181612507913751,297.00000000233007,0.00025252525253554144,3959.9999998386534,0.500000000020372,0.0102915778478118,0.6477756944629489,0.6098271681133359,Rabi_tau1__constrained_weighted.pdf
Rabi_tau1.csv,forced_period_80_150ns,frequency constrained by 80<=T<=150 ns,0.14736555627417547,0.0014861987045371083,0.003175563438978024,297.00000000537096,0.0066666666666666706,149.99999999999991,13.200000000000008,0.009793956865042296,1.4087983711920473,0.38736555627417546,Rabi_tau1__forced_period_80_150ns.pdf
Rabi_tau1.csv,nodamp_constrained,no-damping,0.5285982953459745,0.0011050731229730194,-0.0021854103849984685,inf,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.008742586745922007,0.7898214136185083,0.3185982953459745,Rabi_tau1__nodamp_constrained.pdf
Rabi_tau1.csv,grid_frequency,grid-frequency,0.004548547943918013,0.001605851879070582,8.166908550621483e-05,inf,0.005262381951289374,190.02801568878573,10.41951626355296,0.009751475437962481,2.548418277014176,0.244548547943918,Rabi_tau1__grid_frequency.pdf
Rabi_tau1.csv,robust_softl1,robust-soft_l1,0.2643222606527229,0.0013805090230495736,-0.0009301796772105791,59399.999999998756,0.0002525252525252526,3959.999999999999,0.5000000000000001,0.01030458584681495,-0.43211190563036433,0.05432226065272294,Rabi_tau1__robust_softl1.pdf
