Time (s)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
0.861000061035156	-3.8	-2.63979755267501	-1.16020244732499	-0.000534655505679719	-3.8	-4.00047062383965	-1.16020244732499
1.00800037384033	-3.6	-2.49728889241815	-1.10271110758185	-0.000508161800728965	-3.6	-3.80023090075701	-1.10271110758185
1.08800077438354	-3.4	-2.35543354284018	-1.04456645715982	-0.000481367030949225	-3.4	-3.59999117767438	-1.04456645715982
1.19199991226196	-3.2	-2.21357819326222	-0.986421806737781	-0.000454572261169484	-3.2	-3.39975145459175	-0.986421806737781
1.3100004196167	-3	-2.07172284368426	-0.928277156315744	-0.000427777491389744	-3	-3.19983838684857	-0.928277156315744
1.41000080108643	-2.8	-1.92921418342739	-0.870785816572607	-0.000401283786438989	-2.8	-3.00057862978429	-0.870785816572607
1.52700042724609	-2.6	-1.78801214452833	-0.811987855471671	-0.000374187951830263	-2.6	-2.8000122513622	-0.811987855471671
1.6399998664856	-2.4	-1.64615679495036	-0.753843205049634	-0.000347393182050523	-2.4	-2.60009918361902	-0.753843205049634
1.74399995803833	-2.2	-1.50397479003295	-0.696025209967047	-0.000320748944685275	-2.2	-2.39920614985749	-0.696025209967047
1.84700012207031	-2	-1.36211944045499	-0.63788055954501	-0.000293954174905535	-2	-2.19929308211431	-0.63788055954501
1.96000003814697	-1.8	-1.22059074621647	-0.579409253783524	-0.000267008872711301	-1.8	-1.99970666971058	-0.579409253783524
2.06500005722046	-1.6	-1.07840874129906	-0.521591258700937	-0.000240364635346054	-1.6	-1.79979360196739	-0.521591258700937
2.17799997329712	-1.4	-0.936226736381649	-0.46377326361835	-0.000213720397980806	-1.4	-1.59988053422421	-0.46377326361835
2.29400062561035	-1.2	-0.794371386803685	-0.405628613196313	-0.000186925628201066	-1.2	-1.39931415580213	-0.405628613196313
2.40100049972534	-0.999999999999999	-0.652189381886272	-0.347810618113726	-0.000160281390835819	-0.999999999999999	-1.1997277433984	-0.347810618113726
2.50499963760376	-0.799999999999999	-0.510660687647759	-0.28933931235224	-0.000133336088641585	-0.799999999999999	-0.999814675655216	-0.28933931235224
2.61700057983398	-0.599999999999999	-0.368805338069795	-0.231194661930203	-0.000106541318861845	-0.599999999999999	-0.798921641893685	-0.231194661930203
2.72699975967407	-0.399999999999999	-0.226623333152382	-0.173376666847616	-7.98970814965974E-05	-0.399999999999999	-0.600315195508301	-0.173376666847616
2.83800029754639	-0.199999999999999	-0.0847679835744189	-0.11523201642558	-5.3102311716857E-05	-0.199999999999999	-0.39909550640732	-0.11523201642558
2.94299936294556	1.27675647831893E-15	0.0567607106640948	-0.0567607106640935	-2.61570095226237E-05	1.27675647831893E-15	-0.199835749343038	-0.0567607106640935
3.05399942398071	0.200000000000001	0.199596026260407	0.000403973739594221	1.8616301363789E-07	0.200000000000001	0.00105728441849351	0.000403973739594221
