Time (s)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
0.297000885009766	-4	-6.73098260629922	2.73051198245957	0.00125830045274635	-4	-4.00047062383965	-1.26995864138007
0.430999755859375	-3.8	-6.39256767462939	2.59331673989072	0.00119507683865932	-3.8	-3.79925093473867	-1.20593419484794
0.533999919891357	-3.6	-6.05676598567516	2.45677480800077	0.00113215428940128	-3.6	-3.59999117767438	-1.14321636967361
0.643000602722168	-3.4	-5.71900436468422	2.31990622077137	0.00106908120772874	-3.4	-3.39909814391285	-1.07919192314148
0.751999855041504	-3.2	-5.38516260776669	2.18467091023922	0.00100676078812867	-3.2	-3.20049169752747	-1.01582078728825
0.873000144958496	-3	-5.0483809527941	2.04812897834927	0.000943838238870631	-3	-3.00025197444484	-0.952122996095568
0.985000133514404	-2.8	-4.71159929782152	1.91126039111987	0.000880765157198096	-2.8	-2.80033890670165	-0.889078515581787
1.08800029754639	-2.6	-4.37351102149114	1.77439180389047	0.000817692075525561	-2.6	-2.59911921760067	-0.824727413710207
1.20700073242188	-2.4	-4.03738267719746	1.63784987200052	0.000754769526267519	-2.4	-2.39953280519694	-0.761682933196425
1.31800031661987	-2.2	-3.70158098824322	1.50196125078946	0.000692148041838462	-2.2	-2.19961973745376	-0.697658486664295
1.42900037765503	-2	-3.36610595462844	1.36607262957841	0.000629526557409406	-2	-2.00003332505003	-0.633960695471615
1.53800010681152	-1.8	-3.02801767829806	1.22855073167011	0.000566152410907885	-1.8	-1.79946694662794	-0.570916214957833
1.65700054168701	-1.6	-2.69286930002272	1.09266211045906	0.000503530926478829	-1.6	-1.60020718956366	-0.507545079104602
1.76000022888184	-1.4	-2.35641430038959	0.956446833908558	0.00044075890963528	-1.4	-1.39996746648103	-0.443520632572472
1.86300039291382	-1.2	-2.01767271338031	0.818924936000258	0.000377384763133759	-1.2	-1.19874777738005	-0.379822841379792
1.97100019454956	-0.999999999999999	-1.68089105840772	0.682056348770857	0.000314311681461224	-0.999999999999999	-0.998834709636867	-0.31677836086601
2.08500003814697	-0.799999999999999	-1.34606933547184	0.546494382899255	0.000251840729446661	-0.799999999999999	-0.799574952572584	-0.25308056967333
2.20500040054321	-0.599999999999999	-1.00896102515981	0.409625795669854	0.000188767647774126	-0.599999999999999	-0.599335229489952	-0.189709433820099
2.31900024414063	-0.399999999999999	-0.671526059508324	0.272430553101003	0.000125544033687098	-0.399999999999999	-0.399095506407321	-0.126664953306317
2.42899990081787	-0.199999999999999	-0.334417749196291	0.135888621211052	6.26214844290562E-05	-0.199999999999999	-0.198529127985239	-0.0626405067741871
2.53399991989136	1.27675647831893E-15	-0.00155595829710364	0.00130662135779858	6.02129657971694E-07	1.27675647831893E-15	-0.000249336939305067	0.00105728441849351
2.65100049972534	0.200000000000001	0.335225696675479	-0.135235310532153	-6.23204196000703E-05	0.200000000000001	0.199990386143327	0.0647550756111741
2.76300048828125	0.400000000000001	0.673640628345311	-0.272757208440453	-0.000125694566101591	0.400000000000001	0.400883419904858	0.128126211464405
2.86200046539307	0.600000000000001	1.00976897263899	-0.408972484990954	-0.00018846658294514	0.600000000000001	0.60079648764804	0.191824002657086
2.97399950027466	0.800000000000001	1.34589731693268	-0.545514416880906	-0.000251389132203182	0.800000000000001	0.800382900051773	0.254868483170867
3.08500051498413	1	1.68202566122636	-0.682056348770857	-0.000314311681461224	1	0.999969312455505	0.317912963684648
3.19600009918213	1.2	2.02174721425399	-0.820231557358056	-0.000377986892791731	1.2	1.20151565689594	0.381284099537879
3.30700016021729	1.4	2.35722224786878	-0.955793523229659	-0.000440457844806294	1.4	1.40142872463912	0.445635201409459
3.42900037765503	1.6	2.69106400478631	-1.09102883376181	-0.000502778264406365	1.6	1.6000351710245	0.50900633726269
3.54100036621094	1.8	3.02947893645614	-1.22887738700956	-0.000566302943322378	1.8	1.80060154944658	0.571724162437022
3.65199995040894	2	3.36364734871313	-1.36378604220226	-0.000628472830507956	2	1.99986130651087	0.636075264308602
3.76300001144409	2.2	3.70140896970406	-1.50098128477111	-0.000691696444594984	2.2	2.20042768493295	0.699446400161833
3.86400032043457	2.4	4.03819062467664	-1.63752321666107	-0.000754618993853026	2.4	2.40066740801558	0.763144191354513
3.97399997711182	2.6	4.37497227964923	-1.77439180389047	-0.000817692075525561	2.6	2.60058047575876	0.826188671868294
4.08300018310547	2.8	4.71012065792456	-1.90995376976207	-0.000880163027540124	2.8	2.80016688816249	0.890213118400425
4.19700002670288	3	5.04918890027329	-2.04780232300982	-0.000943687706456138	3	3.00138657726347	0.953584254253656
4.30399990081787	3.2	5.38270400185138	-2.18303763354197	-0.00100600812605621	3.2	3.19966636830941	1.01662873476744
4.41900062561035	3.4	5.72111893352121	-2.32055953145027	-0.00106938227255773	3.4	3.40055940207094	1.07999987062067
4.53200006484985	3.6	6.05692062247545	-2.45644815266132	-0.00113200375698679	3.6	3.60047246981412	1.1440243171528
