U_in_increase,U_out_increase,U_in_decrease,U_out_decrease
0, 0.45, 5, 5.01
0.1, 0.45, 4.9, 5.01
0.2, 0.45, 4.8, 5.01
0.3, 0.45, 4.7, 5.01
0.4, 0.45, 4.6, 5.01
0.5, 0.45, 4.5, 5.01
0.6, 0.45, 4.4, 5.01
0.7, 0.45, 4.3, 5.01
0.8, 0.45, 4.2, 5.01
0.9, 0.45, 4.1, 5.01
1, 5.01, 4, 5.01
1.1, 5.01, 3.9, 5.01
1.2, 5.01, 3.8, 5.01
1.3, 5.01, 3.7, 5.01
1.4, 5.01, 3.6, 5.01
1.5, 5.01, 3.5, 5.01
1.6, 5.01, 3.4, 5.01
1.7, 5.01, 3.3, 5.01
1.8, 5.01, 3.2, 5.01
1.9, 5.01, 3.1, 5.01
2, 5.01, 3, 5.01
2.1, 5.01, 2.9, 5.01
2.2, 5.01, 2.8, 5.01
2.3, 5.01, 2.7, 5.01
2.4, 5.01, 2.6, 5.01
2.5, 5.01, 2.5, 5.01
2.6, 5.01, 2.4, 5.01
2.7, 5.01, 2.3, 5.01
2.8, 5.01, 2.2, 5.01
2.9, 5.01, 2.1, 5.01
3, 5.01, 2, 5.01
3.1, 5.01, 1.9, 5.01
3.2, 5.01, 1.8, 5.01
3.3, 5.01, 1.7, 5.01
3.4, 5.01, 1.6, 5.01
3.5, 5.01, 1.5, 5.01
3.6, 5.01, 1.4, 5.01
3.7, 5.01, 1.3, 5.01
3.8, 5.01, 1.2, 5.01
3.9, 5.01, 1.1, 5.01
4, 5.01, 1, 5.01
4.1, 5.01, 0.9, 5.01
4.2, 5.01, 0.8, 5.01
4.3, 5.01, 0.7, 5.01
4.4, 5.01, 0.6, 0.45
4.5, 5.01, 0.5, 0.45
4.6, 5.01, 0.4, 0.45
4.7, 5.01, 0.3, 0.45
4.8, 5.01, 0.2, 0.45
4.9, 5.01, 0.1, 0.45
5, 5.01, 0, 0.45
