U_in_increase,U_out_increase,U_in_decrease,U_out_decrease
0.0,4.5,3.0,4.5
0.2,4.5,2.8,4.5
0.4,4.5,2.6,4.5
0.6,4.5,2.4,4.5
0.8,4.5,2.2,4.5
1.0,4.5,2.0,4.5
1.2,4.5,1.8,4.5
1.4,4.5,1.6,-3.0
1.6,4.5,1.4,-3.0
1.8,-3.0,1.2,-3.0
2.0,-3.0,1.0,-3.0
2.2,-3.0,0.8,-3.0
2.4,-3.0,0.6,-3.0
2.6,-3.0,0.4,-3.0
2.8,-3.0,0.2,-3.0
3.0,-3.0,0.0,-3.0
